Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-08-13,10.9,19.8,24.0,198.3,28.7,0.0,259.0,64.5,73.7
2013-08-14,2.4,20.0,20.6,171.8,20.1,5.115,138.7,87.0,87.4
2013-08-15,3.7,18.1,22.4,250.8,29.2,0.0,305.2,28.9,70.4
2013-08-16,7.8,19.2,24.0,205.8,20.3,0.0,264.7,43.1,73.6
2013-08-17,8.3,17.8,24.0,271.3,17.8,0.0,238.9,39.0,78.5
2013-08-18,9.0,19.1,24.0,236.4,27.4,0.108,301.3,33.2,69.7
2013-08-19,12.2,19.8,24.0,245.3,29.5,0.053,269.6,36.7,75.9
2013-08-20,14.1,17.2,24.0,54.1,18.3,0.0,217.8,70.4,85.2
2013-08-21,18.8,21.3,24.0,198.7,27.4,0.0,274.9,60.1,76.0
2013-08-22,10.5,23.2,24.0,219.8,33.3,0.0,261.0,38.3,68.4
2013-08-23,7.0,18.0,22.5,313.0,23.9,1.837,166.6,82.3,82.3
2013-08-24,3.9,14.6,24.0,333.7,23.9,0.0,285.2,40.9,71.9
2013-08-25,5.3,15.8,24.0,164.0,14.3,0.272,291.7,23.8,73.6
2013-08-26,11.9,17.8,24.0,198.5,22.0,0.246,96.3,80.2,76.3
2013-08-27,9.2,18.9,23.7,218.7,16.6,0.859,205.6,94.4,88.8
2013-08-28,15.7,18.9,18.0,19.2,27.1,0.0,235.8,84.7,88.7
2013-08-29,8.1,16.3,22.6,38.8,33.3,0.0,74.1,100.0,86.4
2013-08-30,11.7,14.6,17.9,355.2,36.6,5.04,179.4,85.1,88.9
2013-08-31,12.2,17.5,24.0,192.3,16.5,0.0,253.5,58.7,78.0
2014-06-01,4.5,10.9,20.2,13.1,19.7,0.0,350.2,68.6,71.1
2014-06-02,7.2,15.8,24.0,193.3,25.7,0.0,212.4,68.4,53.9
2014-06-03,12.3,17.2,24.0,155.7,21.9,0.0,310.8,74.2,54.3
2014-06-04,10.4,17.1,21.5,151.0,25.3,0.0,253.8,85.0,84.0
2014-06-05,3.4,17.7,23.8,173.6,16.1,0.034,248.6,88.8,80.4
2014-06-06,3.7,14.1,12.6,134.2,27.6,14.003,202.0,96.9,94.6
2014-06-07,3.3,9.0,11.7,339.8,32.2,1.85,102.1,95.8,95.0
2014-06-08,5.6,11.2,24.0,342.2,22.1,0.0,361.2,44.1,72.1
2014-06-09,7.2,14.0,23.6,165.1,20.1,0.001,299.5,54.3,69.3
2014-06-10,6.5,13.0,24.0,3.0,25.6,0.0,252.0,83.8,75.3
2014-06-11,2.2,13.8,24.0,338.3,20.4,0.0,369.9,28.9,58.7
2014-06-12,4.6,12.3,24.0,123.2,16.3,0.0,336.5,54.3,68.8
2014-06-13,1.0,15.0,24.0,159.0,17.9,0.726,290.0,84.3,76.4
2014-06-14,5.7,14.1,23.6,145.7,29.5,2.818,148.7,96.9,84.3
2014-06-15,4.7,14.0,10.9,138.1,20.5,15.228,105.1,98.1,95.6
2014-06-16,5.1,11.0,14.3,350.4,31.7,2.703,243.1,82.7,86.4
2014-06-17,18.3,16.5,24.0,231.5,17.9,0.0,350.9,65.7,58.7
2014-06-18,9.3,13.7,16.7,151.7,31.6,20.937,95.9,91.2,85.0
2014-06-19,6.4,13.0,19.0,321.1,20.3,1.448,245.0,84.0,91.2
2014-06-20,2.8,10.1,23.3,304.7,22.6,8.493,219.2,88.5,87.9
2014-06-21,1.5,10.5,22.7,321.4,25.7,3.737,181.6,89.1,86.2
2014-06-22,4.6,14.1,24.0,338.4,13.2,0.0,259.2,79.2,76.8
2014-06-23,4.6,16.7,24.0,184.9,16.2,0.0,364.7,29.6,71.9
2014-06-24,2.2,18.7,24.0,209.1,29.4,0.0,246.8,69.2,60.3
2014-06-25,4.4,15.4,17.2,214.6,23.8,2.293,123.7,99.5,90.0
2014-06-26,4.2,12.1,12.0,28.0,23.7,10.817,111.1,99.4,96.9
2014-06-27,2.3,14.1,13.6,7.2,22.1,0.529,366.0,64.3,83.7
2014-06-28,4.9,18.8,24.0,209.9,14.0,0.036,357.7,6.1,64.1
