Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2014-07-18,5.8,23.3,16.0,22.5,14.0,0.0,303.9,35.1,49.0
2014-07-19,7.0,22.5,16.0,82.7,16.2,0.0,147.4,84.8,56.1
2014-07-20,4.9,22.0,16.0,56.0,21.5,0.0,100.0,61.0,65.8
2014-07-21,8.9,23.5,15.8,68.2,18.2,0.0,313.3,30.0,64.9
2014-07-22,7.2,25.7,15.9,217.0,26.6,0.0,317.7,24.8,61.9
2014-07-23,7.2,26.5,15.1,209.3,22.3,4.324,316.7,49.2,66.9
2014-07-24,4.7,24.1,15.8,356.7,15.1,0.0,250.6,78.3,63.7
2014-07-25,5.5,23.4,16.0,0.6,19.3,0.0,336.5,36.6,50.7
2014-07-26,9.4,23.6,16.0,216.6,14.5,0.879,258.1,58.1,63.7
2014-07-27,8.0,25.6,15.2,218.0,19.2,0.156,205.9,64.8,70.7
2014-07-29,0.5,21.0,16.0,308.8,19.1,0.0,316.2,45.0,54.2
2014-07-30,4.6,22.1,16.0,283.6,14.4,0.0,315.1,43.8,50.9
2014-07-31,13.3,23.6,15.6,206.8,24.0,0.0,314.4,52.9,58.0
2014-08-01,12.7,24.3,14.3,183.3,18.1,0.0,164.3,52.6,70.3
2014-08-02,6.8,21.1,13.8,60.4,23.7,10.355,100.9,81.7,76.6
2014-08-03,8.2,21.2,13.3,67.4,11.5,1.916,182.5,84.5,78.2
2014-08-04,6.2,24.6,15.6,236.6,21.5,0.0,281.8,59.5,68.7
2014-08-05,7.2,26.2,16.0,190.0,19.2,0.0,275.2,26.6,58.1
2014-08-06,6.9,24.5,15.8,333.6,22.9,0.0,246.0,41.7,57.7
2014-08-07,6.0,23.7,16.0,326.4,20.0,0.0,306.7,22.9,46.2
2014-08-08,4.5,23.3,16.0,318.4,12.2,0.0,304.5,17.3,47.9
2014-08-09,6.2,24.8,16.0,20.2,11.0,0.0,309.6,18.0,46.9
2014-08-10,6.7,25.5,16.0,75.0,12.0,0.0,310.9,32.0,48.8
2014-08-11,7.3,25.3,16.0,175.6,21.1,0.0,304.6,39.7,52.2
2014-08-12,0.8,23.7,15.5,143.7,25.9,1.916,123.6,78.4,74.0
2014-08-13,1.1,23.1,12.8,48.6,38.1,17.345,271.2,85.7,77.9
2014-08-14,3.4,21.8,16.0,282.7,24.4,0.0,313.2,24.1,50.6
2014-08-15,1.8,20.0,16.0,292.0,21.3,0.0,312.4,54.6,50.7
2014-08-16,8.8,21.8,16.0,232.2,22.0,0.0,274.1,38.9,50.0
2014-08-17,8.1,23.4,16.0,291.3,19.9,0.243,250.9,55.2,52.6
2014-08-18,3.4,22.4,16.0,319.5,18.1,0.0,306.2,24.6,51.8
2014-08-19,4.8,22.3,15.9,73.2,15.8,0.0,300.7,35.6,63.0
2014-08-20,4.3,24.1,16.0,153.9,19.7,0.0,288.2,48.1,61.3
2014-08-21,4.3,23.4,15.6,162.3,20.0,1.301,262.9,66.8,64.1
2014-08-22,2.5,21.4,14.4,81.8,14.8,15.97,210.5,92.3,75.9
2014-08-23,2.5,21.2,16.0,65.7,19.1,0.156,274.4,85.3,68.3
2014-08-24,2.7,21.8,16.0,48.4,15.1,0.0,296.4,31.7,64.5
2014-08-25,9.3,24.5,16.0,15.2,13.6,0.0,294.9,10.1,56.4
2014-08-26,7.4,25.1,15.5,110.4,13.9,0.0,287.1,21.6,62.4
2014-08-27,10.6,26.4,15.9,227.2,17.2,0.0,286.4,20.4,56.3
2014-08-28,3.0,24.1,16.0,330.2,28.4,0.0,290.6,32.0,49.9
2014-08-29,2.3,20.9,16.0,64.9,14.7,0.0,274.4,30.0,51.1
2014-08-30,3.4,22.2,16.0,159.0,19.7,0.0,280.7,66.7,62.7
2014-08-31,9.2,25.5,14.1,220.9,21.2,14.056,230.8,86.3,74.4
2015-06-01,-1.4,13.4,8.3,61.1,26.6,23.924,158.5,100.0,91.2
2015-06-02,-0.1,11.4,11.3,49.3,24.7,9.98,96.0,100.0,89.4
2015-06-03,0.7,14.8,15.7,85.4,14.5,0.0,261.6,74.0,72.7
2015-06-04,0.7,14.7,16.0,77.5,16.7,0.0,192.5,73.0,68.7
2015-06-05,2.3,15.7,13.9,58.9,13.0,2.495,102.4,91.3,74.4
2015-06-06,5.1,19.3,13.1,14.0,23.7,7.066,126.8,68.8,64.5
2015-06-07,3.1,18.2,16.0,146.8,24.8,0.0,362.9,24.9,45.7
2015-06-08,4.7,20.9,15.8,186.6,21.9,0.705,330.3,73.6,66.6
2015-06-09,6.4,23.6,14.9,235.6,25.3,1.285,304.0,71.1,68.7
2015-06-10,7.9,23.6,15.8,243.4,20.0,0.0,349.2,20.5,54.5
2015-06-11,26.3,27.4,13.4,235.9,17.8,0.0,210.7,46.9,55.5
2015-06-12,18.0,27.4,14.4,119.8,17.8,0.0,286.4,44.4,57.2
2015-06-13,2.8,26.8,16.0,328.1,22.7,0.0,300.3,54.9,50.4
2015-06-14,5.3,25.0,15.6,137.1,18.4,2.231,289.1,47.5,54.8
2015-06-15,5.0,21.1,7.9,75.2,21.9,23.231,248.7,98.8,88.0
2015-06-16,5.5,21.6,11.1,12.7,11.5,6.294,268.9,82.0,81.0
2015-06-17,3.8,22.4,15.6,57.1,18.4,0.0,336.8,40.0,61.7
2015-06-18,1.1,19.3,15.6,155.0,16.9,0.0,205.4,93.5,75.9
2015-06-19,7.0,24.4,15.6,339.6,17.8,0.0,274.3,78.1,65.9
2015-06-20,5.0,20.4,11.5,56.4,18.3,0.115,159.5,92.0,72.2
2015-06-21,4.9,25.5,11.3,283.5,21.9,13.285,262.3,81.3,74.2
2015-06-22,7.2,26.5,15.9,288.4,21.5,0.0,350.8,31.5,55.5
2015-06-23,14.3,28.0,14.9,225.4,32.4,1.929,169.6,48.3,63.1
2015-06-24,1.6,24.8,16.0,323.0,19.7,0.0,356.1,28.0,49.4
2015-06-25,5.9,24.1,16.0,248.6,16.9,0.0,318.6,45.9,44.0
2015-06-26,7.2,23.3,16.0,65.8,22.2,0.0,286.0,72.2,58.0
2015-06-27,0.9,19.4,13.6,88.6,25.7,23.043,116.9,89.4,69.5
2015-06-28,-0.7,19.3,10.9,38.0,28.5,12.119,312.4,97.9,81.6
2015-06-29,1.1,21.7,16.0,261.8,21.7,0.0,351.5,48.2,57.2
2015-06-30,6.3,23.7,16.0,168.1,28.1,0.0,325.8,50.2,61.0
2015-07-01,14.5,24.7,13.1,242.2,24.8,13.193,241.7,71.8,66.9
2015-07-02,9.4,23.5,15.7,322.8,13.9,0.0,121.5,45.9,58.0
