Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/1/23,AQS,360470118,3,7.2,ug/m3 LC,30,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/2/23,AQS,360470118,3,12.6,ug/m3 LC,52,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/3/23,AQS,360470118,3,6.6,ug/m3 LC,28,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/4/23,AQS,360470118,3,4.1,ug/m3 LC,17,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/5/23,AQS,360470118,3,9.5,ug/m3 LC,40,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/6/23,AQS,360470118,3,13.3,ug/m3 LC,54,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/7/23,AQS,360470118,3,11.4,ug/m3 LC,48,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/8/23,AQS,360470118,3,14.8,ug/m3 LC,57,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/9/23,AQS,360470118,3,17.5,ug/m3 LC,62,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/10/23,AQS,360470118,3,7.7,ug/m3 LC,32,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/11/23,AQS,360470118,3,4.5,ug/m3 LC,19,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
2/12/23,AQS,360470118,3,10.8,ug/m3 LC,45,PS 274,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,047,Kings,40.69454,-73.92769
