Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-08-16,6.4,21.7,16.0,203.9,10.8,0.0,295.4,48.5,52.4
2013-08-17,7.8,22.7,16.0,65.3,9.5,0.0,279.1,32.3,51.9
2013-08-18,9.1,22.2,15.7,48.4,12.5,0.0,175.1,52.4,58.1
2013-08-19,12.0,22.6,15.8,259.9,12.7,0.0,176.4,36.3,63.1
2013-08-20,12.0,25.4,15.6,296.5,10.7,0.0,288.2,30.4,61.4
2013-08-21,17.6,26.9,15.5,259.9,14.1,0.0,272.6,17.4,54.5
2013-08-22,12.2,24.1,13.0,249.2,13.3,6.941,118.7,57.1,81.9
2013-08-23,5.5,24.2,14.8,2.9,17.9,0.0,166.1,31.0,57.7
2013-08-24,3.9,21.8,16.0,46.2,17.8,0.0,299.7,22.5,49.6
2013-08-25,6.0,23.0,16.0,243.3,24.4,0.0,285.0,20.9,51.9
2013-08-26,11.3,24.1,15.8,241.8,17.1,0.308,249.5,60.6,55.8
2013-08-27,8.3,25.7,15.5,325.2,27.4,0.72,228.1,63.0,67.0
2013-08-28,15.4,24.5,11.5,37.6,9.1,12.648,242.6,48.3,78.1
2013-08-29,7.7,23.3,13.0,73.4,16.1,0.0,269.4,76.5,77.7
2013-08-30,12.9,24.4,14.8,238.1,18.9,0.0,229.9,70.2,69.2
2013-08-31,15.0,26.0,14.1,218.2,18.4,0.0,210.6,64.7,72.9
2014-06-02,8.8,21.6,16.0,216.3,14.8,0.0,361.6,8.3,43.5
2014-06-03,12.8,23.7,14.2,203.3,17.7,5.152,340.3,27.9,61.6
2014-06-04,12.1,21.6,12.5,58.4,19.2,0.0,292.2,53.3,72.3
2014-06-05,3.7,20.0,11.4,13.1,19.2,20.051,215.3,83.4,72.8
2014-06-06,1.6,19.9,16.0,315.3,17.1,0.0,352.0,61.0,49.5
2014-06-07,3.3,22.1,16.0,329.4,16.6,0.0,359.2,14.0,49.5
2014-06-08,6.5,24.0,16.0,187.3,22.3,0.0,322.2,24.3,48.6
2014-06-09,7.9,19.1,8.1,89.5,12.8,39.093,160.2,94.3,82.4
2014-06-10,9.9,21.1,9.7,55.1,12.9,0.0,214.3,87.6,83.5
2014-06-11,3.1,18.7,14.8,67.1,20.6,0.664,251.2,97.0,78.5
2014-06-12,4.6,18.4,10.0,71.1,14.3,0.376,201.4,100.0,86.1
2014-06-13,5.6,20.4,7.2,71.7,12.7,34.09,190.2,85.1,89.0
2014-06-14,3.6,20.3,14.0,317.7,37.1,0.0,306.7,66.7,66.3
2014-06-15,3.6,20.8,16.0,316.1,18.6,0.0,345.5,21.1,53.6
2014-06-16,5.2,22.2,16.0,146.3,17.4,0.0,360.3,24.3,57.1
2014-06-17,19.5,26.2,14.9,202.8,15.5,0.0,229.2,37.7,59.0
2014-06-18,8.7,28.7,15.7,299.0,32.3,0.0,328.0,26.1,49.0
2014-06-19,6.5,23.2,15.5,1.2,15.7,2.38,201.9,61.3,69.5
2014-06-20,0.2,22.6,15.8,340.1,15.7,0.0,341.1,31.2,42.3
2014-06-21,3.2,20.8,16.0,74.6,18.4,0.0,337.1,25.6,46.5
2014-06-22,6.7,21.1,16.0,85.2,13.0,0.0,292.3,51.0,57.6
2014-06-23,5.1,22.6,16.0,188.1,22.1,0.0,354.0,27.4,56.2
2014-06-24,4.5,23.1,16.0,186.2,27.3,0.0,353.4,37.9,59.4
2014-06-25,8.6,24.4,14.8,189.5,20.7,0.0,227.3,66.3,75.5
2014-06-26,3.6,25.4,15.0,328.6,14.7,3.642,330.7,70.4,70.4
